timestamp=2026-05-20T03:04:53Z
cwd=/www/Kiro-Go
NAMES                IMAGE                                      STATUS                    PORTS
sub2api              sub2api:local                              Up 15 minutes (healthy)   0.0.0.0:18080->8080/tcp
kiro-go-kiro-go-1    kiro-go-kiro-go                            Up About an hour          0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp
waoowaoo-app         ghcr.io/saturndec/waoowaoo:latest          Up 34 hours (healthy)     0.0.0.0:13000->3000/tcp, [::]:13000->3000/tcp, 0.0.0.0:13010->3010/tcp, [::]:13010->3010/tcp
sub2api-postgres     postgres:18-alpine                         Up 2 days (healthy)       5432/tcp
sub2api-redis        redis:8-alpine                             Up 2 days (healthy)       6379/tcp
waoowaoo-redis       redis:7-alpine                             Up 3 days (healthy)       0.0.0.0:16379->6379/tcp, [::]:16379->6379/tcp
waoowaoo-mysql       mysql:8.0                                  Up 3 days (healthy)       33060/tcp, 0.0.0.0:13306->3306/tcp, [::]:13306->3306/tcp
waoowaoo-minio       minio/minio:RELEASE.2025-02-28T09-55-16Z   Up 3 days (healthy)       0.0.0.0:19000->9000/tcp, [::]:19000->9000/tcp, 0.0.0.0:19001->9001/tcp, [::]:19001->9001/tcp
xboard-web-1         ghcr.io/cedar2025/xboard:new               Up 3 days                 127.0.0.1:7001->7001/tcp
xboard-horizon-1     ghcr.io/cedar2025/xboard:new               Up 3 days                 7001/tcp
xboard-ws-server-1   ghcr.io/cedar2025/xboard:new               Up 3 days                 7001/tcp, 127.0.0.1:8076->8076/tcp
xboard-redis-1       redis:8-alpine                             Up 3 days                 6379/tcp
memos                neosmemo/memos:stable                      Up 3 days                 0.0.0.0:8023->5230/tcp, [::]:8023->5230/tcp
php                  kjlion/php:fpm-alpine                      Up 3 days                 9000/tcp
php74                kjlion/php:7.4-fpm-alpine                  Up 3 days                 9000/tcp
nginx                nginx:alpine                               Up 3 days                 
redis                redis:alpine                               Up 3 days                 6379/tcp
mysql                mysql                                      Up 3 days (healthy)       3306/tcp, 33060/tcp
