  id   |          created_at           |                request_id                | api_key_id | account_id | group_id | inbound_endpoint | upstream_endpoint |      model      | requested_model | upstream_model | stream | duration_ms | first_token_ms | input_tokens | output_tokens |  total_cost  
-------+-------------------------------+------------------------------------------+------------+------------+----------+------------------+-------------------+-----------------+-----------------+----------------+--------+-------------+----------------+--------------+---------------+--------------
 66890 | 2026-05-20 11:07:10.774796+08 | generated:r1x72kf7q84igo-9d              |          1 |         83 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1574 |                |          180 |            17 | 0.0014100000
 66873 | 2026-05-20 11:06:09.289384+08 | generated:r1x72kf7q84igo-7y              |          1 |         92 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        2032 |                |          122 |             5 | 0.0007600000
 66872 | 2026-05-20 11:06:07.228227+08 | req_2680f148-5704-4392-876c-364c2282a92a |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | t      |        1483 |           1481 |         5892 |             1 | 0.0294850000
 66871 | 2026-05-20 11:06:05.71524+08  | req_b229becf-c0c1-4ef9-ba92-7872e94c4528 |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | f      |        2501 |                |         5889 |             1 | 0.0294700000
 66857 | 2026-05-20 11:04:11.853137+08 | generated:r1x72kf7q84igo-6i              |          1 |         74 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        2773 |                |          180 |            17 | 0.0014100000
 66851 | 2026-05-20 11:01:10.718019+08 | generated:r1x72kf7q84igo-60              |          1 |         97 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1585 |                |          180 |             5 | 0.0010500000
 66849 | 2026-05-20 11:00:53.23747+08  | req_5d984363-1daa-4eeb-bf0c-d66143c1b5ff |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | t      |        2555 |           2555 |         5892 |             1 | 0.0294850000
 66847 | 2026-05-20 11:00:34.476182+08 | generated:r1x72kf7q84igo-5n              |          1 |         88 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1891 |                |          122 |            17 | 0.0011200000
 66846 | 2026-05-20 11:00:32.553917+08 | req_6bc3acd3-00c0-40ff-a543-52ca7f2d523a |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | f      |        2322 |                |         5891 |             1 | 0.0294800000
 66835 | 2026-05-20 10:58:11.21357+08  | generated:r1x72kf7q84igo-4q              |          1 |         98 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        2124 |                |          180 |            17 | 0.0014100000
 66821 | 2026-05-20 10:55:10.228097+08 | generated:r1x72kf7q84igo-3h              |          1 |         94 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1101 |                |          180 |             5 | 0.0010500000
 66813 | 2026-05-20 10:52:22.207923+08 | req_d5496a39-4e2f-47c9-9330-a831794c9957 |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | t      |       23256 |          20910 |        31187 |            69 | 0.1846130000
 66811 | 2026-05-20 10:52:11.123848+08 | generated:r1x72kf7q84igo-1a              |          1 |         96 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1766 |                |          180 |             5 | 0.0010500000
 66810 | 2026-05-20 10:51:58.918868+08 | req_4dab76b9-0a3f-43f3-855f-8d146caefed2 |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | t      |       61262 |          55846 |            0 |            76 | 0.4010970000
 66799 | 2026-05-20 10:49:10.776425+08 | generated:r1x72kf7q84igo-a               |          1 |         95 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1665 |                |          180 |             5 | 0.0010500000
 66773 | 2026-05-20 10:46:57.7543+08   | generated:rchznntt19013-qb7              |          1 |         91 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1562 |                |          180 |            17 | 0.0014100000
 66747 | 2026-05-20 10:43:57.385754+08 | generated:rchznntt19013-q8a              |          1 |         93 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1205 |                |          180 |             5 | 0.0010500000
 66745 | 2026-05-20 10:43:12.763176+08 | req_8bd3e03f-f7e8-45e3-8a3a-4fc8bc8ec658 |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | t      |       18174 |           5331 |        32259 |           460 | 0.1986925000
 66743 | 2026-05-20 10:42:54.531079+08 | req_39696d6c-dfff-4419-8193-d7f96263726b |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | t      |       11351 |           6601 |            0 |           641 | 0.4020725000
 66742 | 2026-05-20 10:42:41.003168+08 | req_f28f60be-fdd0-4ee0-98b8-ede2d62efe61 |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | t      |       92720 |          53454 |        30951 |           246 | 0.1859895000
 66740 | 2026-05-20 10:41:08.153302+08 | req_81285543-7020-40b5-999a-e7d7ce7f29ad |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | t      |      105451 |          55075 |        24020 |           325 | 0.4925500000
 66738 | 2026-05-20 10:40:57.251327+08 | generated:rchznntt19013-q6s              |          1 |         95 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1048 |                |          180 |             5 | 0.0010500000
 66734 | 2026-05-20 10:39:22.632254+08 | req_8c7e1323-6fa8-411e-960b-5c9ada487a1c |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | t      |       48533 |          38989 |        23628 |           205 | 0.1414440000
 66728 | 2026-05-20 10:38:33.970074+08 | req_bb842dce-64f2-4d92-99af-13a3c5791956 |          2 |         24 |        1 | /v1/messages     | /v1/messages      | claude-opus-4-7 | claude-opus-4-7 |                | t      |       49546 |          36362 |        12752 |           328 | 0.3348412500
 66722 | 2026-05-20 10:37:57.766594+08 | generated:rchznntt19013-q5k              |          1 |         94 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1587 |                |          180 |            17 | 0.0014100000
 66706 | 2026-05-20 10:34:57.793557+08 | generated:rchznntt19013-q46              |          1 |         88 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1611 |                |          180 |             5 | 0.0010500000
 66698 | 2026-05-20 10:31:57.720473+08 | generated:rchznntt19013-q3g              |          1 |         95 |        2 | /v1/messages     | /v1/responses     | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1535 |                |          180 |             5 | 0.0010500000
