  id  |          created_at           | api_key_id | account_id | group_id | platform  |      model      | request_path | status_code | error_phase |   error_type   |      error_message      | upstream_status_code |                       upstream_error_message                       | inbound_endpoint | upstream_endpoint 
------+-------------------------------+------------+------------+----------+-----------+-----------------+--------------+-------------+-------------+----------------+-------------------------+----------------------+--------------------------------------------------------------------+------------------+-------------------
 2148 | 2026-05-21 17:30:56.56587+08  |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2147 | 2026-05-21 17:30:56.565591+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2146 | 2026-05-21 17:30:56.566605+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2145 | 2026-05-21 17:30:56.56525+08  |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2144 | 2026-05-21 17:30:56.566575+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2143 | 2026-05-21 17:30:56.565731+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2142 | 2026-05-21 17:30:56.565968+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2141 | 2026-05-21 17:30:56.564242+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2140 | 2026-05-21 17:30:56.565525+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2139 | 2026-05-21 17:30:56.566421+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2138 | 2026-05-21 17:30:08.784406+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2137 | 2026-05-21 17:30:06.020195+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
