  id  |          created_at           |                request_id                | api_key_id | account_id |      model      | requested_model | status_code | upstream_status_code | provider_error_type | is_retryable | retry_count | error_phase |    error_type    |                                                                          error_message                                                                           
------+-------------------------------+------------------------------------------+------------+------------+-----------------+-----------------+-------------+----------------------+---------------------+--------------+-------------+-------------+------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1258 | 2026-05-20 01:59:09.363656+08 | 442510b5-6f72-473e-a573-18940cf275af     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1257 | 2026-05-20 01:58:49.903046+08 | a2a67b30-1bc6-478c-af70-1fbcd7ff1307     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1256 | 2026-05-20 01:58:47.924455+08 | uat-kiro-429-fix-20260520015846          |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1255 | 2026-05-20 01:58:39.274645+08 | 187a5392-2995-4e62-ad87-3af842269381     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1254 | 2026-05-20 01:58:33.191516+08 | ec3c47ce-b386-478a-95f7-7d34a1056c6a     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1253 | 2026-05-20 01:58:29.421592+08 | a0dabaef-331b-4774-af1d-e4ec3e40a453     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1252 | 2026-05-20 01:58:26.71649+08  | 81f67404-dfa2-4ef8-8bbe-52dc64681b5f     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1251 | 2026-05-20 01:58:24.587811+08 | 992e12b5-965f-43ac-b3f8-01c7899f85a3     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1250 | 2026-05-20 01:58:21.870025+08 | req_517aeb65-f5c4-4884-becd-890c7527ef0b |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         200 |                  429 |                     | t            |           0 | upstream    | upstream_error   | Recovered upstream error 429: HTTP 429 from Kiro IDE: {"message":"Due to suspicious activity, we are imposing temporary limits on how frequently your account (d
 1249 | 2026-05-20 01:55:33.798678+08 | 105f5104-59ea-449f-a63e-68b78f2ad74b     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1248 | 2026-05-20 01:54:56.467966+08 | c47577de-1058-486c-a3b1-fe0c9795a3a8     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1247 | 2026-05-20 01:54:37.552267+08 | 08085ddc-0f59-4a60-9b8c-7894a86be83c     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1246 | 2026-05-20 01:54:27.694058+08 | 98cd91f6-bc4a-4403-8855-7ed8f8ac8199     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1245 | 2026-05-20 01:54:21.190782+08 | 477a470e-bf2c-4138-9ddd-be55e7e92487     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1244 | 2026-05-20 01:54:17.509558+08 | 1389ae1d-2bca-463e-855d-c2b8ad558d31     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1243 | 2026-05-20 01:54:14.721764+08 | 267d9ed3-a4cd-42da-9986-69ad175743af     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1242 | 2026-05-20 01:54:12.563277+08 | 2a292bfb-43a7-4b3d-8d63-8ed6df7d90d9     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         429 |                  429 |                     | t            |           0 | upstream    | rate_limit_error | Upstream rate limit exceeded, please retry later
 1240 | 2026-05-20 01:46:16.836634+08 | 5b4104b5-64af-45d4-a6ca-28355edf232e     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         502 |                  409 |                     | t            |           0 | upstream    | upstream_error   | Upstream request failed
 1239 | 2026-05-20 01:45:42.428802+08 | 43859da9-02aa-454e-8b74-4532241392a7     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         502 |                  409 |                     | t            |           0 | upstream    | upstream_error   | Upstream request failed
 1238 | 2026-05-20 01:45:02.908911+08 | 664c4760-424d-4033-a780-9a99145ff1fd     |          2 |         24 | claude-opus-4-7 | claude-opus-4-7 |         502 |                  409 |                     | t            |           0 | upstream    | upstream_error   | Upstream request failed
(20 rows)

