  id   |                request_id                | api_key_id | account_id | group_id |      model      | requested_model | upstream_model | stream | duration_ms |          created_at           | inbound_endpoint | upstream_endpoint 
-------+------------------------------------------+------------+------------+----------+-----------------+-----------------+----------------+--------+-------------+-------------------------------+------------------+-------------------
 68574 | req_c387a43d-6d2f-4882-afd5-c2e7e71aabcc |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | t      |       19836 | 2026-05-20 14:05:24.63075+08  | /v1/messages     | /v1/messages
 68573 | req_931b97bc-92a9-4169-8d20-bcf21c3f14f0 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | t      |       15897 | 2026-05-20 14:05:20.699396+08 | /v1/messages     | /v1/messages
 68572 | req_5abe6c12-76b1-45cf-8b20-20a65bcc1617 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | t      |       13022 | 2026-05-20 14:05:17.821044+08 | /v1/messages     | /v1/messages
 68571 | req_5296412c-24a2-4f5c-a185-2113a75fd68e |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | t      |       11307 | 2026-05-20 14:05:16.118379+08 | /v1/messages     | /v1/messages
 68570 | req_b1527544-01cc-4061-80e3-7825b0fc86e1 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | t      |        9685 | 2026-05-20 14:05:14.485059+08 | /v1/messages     | /v1/messages
 68568 | req_99a55ea4-afe5-417b-bce1-337c5c9c125d |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | t      |        4855 | 2026-05-20 14:05:09.65333+08  | /v1/messages     | /v1/messages
 68566 | req_9c2b00d3-32be-49ec-8be8-88dee48778f1 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | t      |        1817 | 2026-05-20 14:05:06.605192+08 | /v1/messages     | /v1/messages
 68563 | req_57e8f843-c925-42d1-8816-a21014c6ed86 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       35832 | 2026-05-20 14:04:53.142228+08 | /v1/messages     | /v1/messages
 68562 | req_c1a37290-54d7-41d0-b8f1-2deaa1d0b3d0 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       32998 | 2026-05-20 14:04:50.308025+08 | /v1/messages     | /v1/messages
 68560 | req_867310f1-13b2-45bc-bafc-9b74b62f0bd4 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       29345 | 2026-05-20 14:04:46.656581+08 | /v1/messages     | /v1/messages
 68558 | req_ce3cd789-8aaf-4291-b49b-ec84700c65f6 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       27011 | 2026-05-20 14:04:44.328629+08 | /v1/messages     | /v1/messages
 68557 | req_64f635e9-25ac-45c9-a81c-85daaa076c23 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       25456 | 2026-05-20 14:04:42.77682+08  | /v1/messages     | /v1/messages
 68555 | generated:r2sulcvw0yj1c-dc               |          1 |         83 |        2 | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1506 | 2026-05-20 14:04:41.89452+08  | /v1/messages     | /v1/responses
 68554 | req_e4120f7f-9fe2-4b13-9cd7-adcb2e3232da |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       23234 | 2026-05-20 14:04:40.542152+08 | /v1/messages     | /v1/messages
 68552 | req_6a86099a-3288-4682-b934-9366a060b769 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       16958 | 2026-05-20 14:04:34.274628+08 | /v1/messages     | /v1/messages
 68549 | req_1354d6e9-6ab9-4d44-809a-9d9d3895b259 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       10735 | 2026-05-20 14:04:28.039207+08 | /v1/messages     | /v1/messages
 68545 | req_3474434f-f434-47c3-a0ea-316fbb827d39 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        5121 | 2026-05-20 14:04:22.433067+08 | /v1/messages     | /v1/messages
 68544 | req_55047195-8bcc-4f49-87d0-65d7a22db750 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        2856 | 2026-05-20 14:04:20.15946+08  | /v1/messages     | /v1/messages
 68543 | req_b40d2d1e-021f-4df8-9baa-e5436439c3b0 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       33908 | 2026-05-20 14:04:17.240379+08 | /v1/messages     | /v1/messages
 68541 | req_cc3f7c0a-4539-47e5-8d10-f781931b5c0b |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       32385 | 2026-05-20 14:04:15.692328+08 | /v1/messages     | /v1/messages
 68540 | req_eb07fab0-ca81-4d16-ba8c-a1014377bde7 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       30837 | 2026-05-20 14:04:14.168848+08 | /v1/messages     | /v1/messages
 68539 | req_aacf23da-4151-43de-9f81-e4c47a88c8e4 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       25082 | 2026-05-20 14:04:08.386801+08 | /v1/messages     | /v1/messages
 68537 | req_cfd453e4-ee51-4751-bd29-ac3d58e1ba64 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       22019 | 2026-05-20 14:04:05.3223+08   | /v1/messages     | /v1/messages
 68536 | req_d7b9986d-ffe0-4b27-aca7-9e8ee6eeb9f5 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       18247 | 2026-05-20 14:04:01.550881+08 | /v1/messages     | /v1/messages
